level,grammar_point
N5,つもりです
N5,～んです
N5,ので
N5,は
N5,～ましょう
N5,～のがじょうずです
N5,～まえに
N5,～のほうが～より
N5,～にいく
N5,～がいます
N5,～く/ ～になる
N5,～のがへたです
N5,～てください
N5,～たり …～たりする
N5,～てもいいです
N5,～があります
N5,です
N5,～なくちゃいけない
N5,～のがすきです
N5,～ている
N5,や
N5,を
N5,～てはいけません
N5,stem +たいです
N5,ないでください
N5,でしょう
N5,～ませんか
N5,まだ～ていません
N5,で
N5,～から
N5,も
N5,と
N5,～すぎる
N5,～ほうがいい
N5,に
N5,～のなかで～がいちばん～
N5,～ましょうか
N5,～てから
N5,～たことがある
N5,に/へ
N4,～おう
N4,～という～
N4,～かどうか
N4,～のようてほしい
N4,～はずです
N4,～てある
N4,Dictionary form+と
N4,～がほしい
N4,～なさい
N4,～てもらう
N4,しか～ない
N4,～よう
N4,～てあげる
N4,(period)に(frequency)
N4,そうです
N4,～ていただけませんか
N4,～やすい
N4,～かもしれない
N4,～ば/～れば
N4,～たらどうですか
N4,～く/ ～にする
N4,のに
N4,Number+も
N4,てみる
N4,～ばよかった
N4,～てすみません
N4,～ないで
N4,"～ているあいだに,～"
N4,～といいです
N4,～てくれる
N4,～のように
N4,～させる
N4,～させられる
N4,～し
N4,なら
N4,～ことにする
N4,～てくれてありがとう
N4,～ておく
N4,～てしまう
N4,～のような
N4,～ても
N4,～みたい
N4,～ながら
N4,～なくてもいい
N4,～てよかった
N4,～たら
N4,～にくい
N4,～られる
N4,～そうです
N4,～たがる
N3,～たび～
N3,ようにする
N3,まさか
N3,～げ
N3,～始める
N3,～らしい
N3,～ぐらい
N3,～には～の～がある
N3,～ても
N3,～によると
N3,むしろ
N3,～として
N3,N+ばかり
N3,すぎない（過ぎない）
N3,～っぽい
N3,すでに（既に）
N3,おいて（於いて）
N3,ほど
N3,～ないで
N3,つい
N3,ふり
N3,まま
N3,～ために
N3,～ないうちに
N3,～としたら
N3,つもりで
N3,～に関する
N3,～とても～ない
N3,どうしても
N3,～とともに～
N3,きり
N3,～によって
N3,ように
N3,～て初めて
N3,～がち
N3,～ず
N3,～ようになる
N3,せいぜい
N3,N+を始め
N3,～ば～ほど
N3,～たて
N3,～は～くらいです
N3,どうやら
N3,～は～で有名
N3,～かえって
N3,～さえ～ば
N3,こそ
N3,～になれる
N3,さらに（更に）
N3,～代わり
N3,まい
N3,わざわざ
N3,限る
N3,おかげで
N3,さえ
N3,～たものだ
N3,～のような
N3,的
N3,いったい（一体）
N3,～ことになる
N3,～に違いない
N3,なかなか
N3,～たばかり
N2,～ばいいのに
N2,～わけです
N2,何といっても
N2,～ような気がする
N2,～ことにする
N2,以外の
N2,～に気をつける
N2,別に～ない
N2,～しか～ない
N2,～にあたる
N2,とうてい
N2,のぼる
N2,～ないで済む
N2,がてら
N2,および
N2,いったんーば
N2,よっぽど
N2,つうじて（通じて）
N2,思うように
N2,いよいよ
N2,～からなる(成る)
N2,～より仕方がない
N2,～ものですから
N2,～なかなか～ない
N2,せっかく
N2,やむをえず
N2,やっぱり
N2,かたわら（傍ら）
N2,ろくに
N2,なるべく
N2,かねる
N2,せいか
N2,たしか
N2,～ではないだろうか
N2,～わけにはいかない
N2,まんいち（万一）
N2,～は～に限る
N2,ゆえに
N2,一方では
N2,なにしろ（何しろ）
N2,それにしても
N2,～を～にまかせる
N2,～というわけではない
N2,かけては
N2,たちまち
N2,さすがに
N2,～に越したことはない
N2,ものの
N2,いつのまにか
N2,さしつかえない
N2,あえて
N2,たまらない
N2,～た上で
N2,～ないわけにはいかない
N2,ごとし（如し）
N2,かねない
N2,ろくに～ない
N2,～と言っても～
N2,～が気になる
N2,せめて
N2,～でいいです
N2,くせに
N2,いたるまで（至るまで）
N1,～めく
N1,～かたわら
N1,～と思いきや
N1,～が早いか
N1,ただ～のみ
N1,～なり
N1,～や否や（いなや）
N1,～ごとき
N1,～がてら
N1,～を皮切りに
N1,～をもって
N1,～が最後
N1,～まみれ
N1,～とあれば
N1,～ともなると
N1,～なくしては
N1,～なしに
N1,～ならでは
N1,～に足る
N1,～とあって
N1,～べく
N1,～かたがた
N1,～たところで
N1,～であれ
N1,～にたえない
N1,～を限りに
N1,～ところを
N1,～にそくして
N1,～とはいえ
N1,～が早いか
N1,～ものを
N1,～ようが
N1,～いかん
N1,～と相まって
N1,～をよそに
N1,～ないまでも
N1,～てもさしつかえない
N1,～たる
N1,～まじき
N1,～極まる
N1,～にかこつけて
N1,～に（は）あたらない
N1,～にかたくない
N1,～べからず
N1,～を禁じ得ない
N1,～たりとも
N1,～きらいがある
N1,～しまつだ
N1,～を余儀なくされる
N1,～てやまない
N1,～割りに（は）
N1,～かいもなく
N1,～だけまし
N1,～ないではすまない
N1,～をふまえて
N1,～をおして
N1,～を経て
N1,～ゆえ
N1,～ながらも
N1,～ことなしに
N1,～ではあるまいし
N1,～てからというもの
N1,～としたところで
N1,～（で）すら
N1,～といえども
N1,～っぱなし
N1,～ずくめ
N1,～ながらに
N1,～にもまして
N1,～にひきかえ
N1,～はおろか
