level,kanji,readings,meanings
N5,土,ド | ト | つち,soil | earth | ground | Turkey
N5,山,サン | セン | やま,mountain
N5,先,セン | さき | ま.ず,before | ahead | previous | future | precedence
N5,三,サン | ゾウ | み | み.つ | みっ.つ,three
N5,四,シ | よ | よ.つ | よっ.つ | よん,four
N5,来,ライ | タイ | く.る | きた.る | きた.す | き.たす | き.たる | き | こ,come | due | next | cause | become
N5,語,ゴ | かた.る | かた.らう,word | speech | language
N5,七,シチ | なな | なな.つ | なの,seven
N5,日,ニチ | ジツ | ひ | ~び | ~か,day | sun | Japan | counter for days
N5,火,カ | ひ | ~び | ほ~,fire
N5,下,カ | ゲ | した | しも | もと | さ.げる | さ.がる | くだ.る | くだ.り | くだ.す | ~くだ.す | くだ.さる | お.ろす | お.りる,below | down | descend | give | low | inferior
N5,話,ワ | はな.す | はなし,tale | talk
N5,学,ガク | まな.ぶ,study | learning | science
N5,八,ハチ | や | や.つ | やっ.つ | よう,eight | eight radical (no. 12)
N5,長,チョウ | なが.い | おさ,long | leader | superior | senior
N5,半,ハン | なか.ば,half | middle | odd number | semi- | part-
N5,気,キ | ケ | いき,spirit | mind | air | atmosphere | mood
N5,時,ジ | とき | ~どき,time | hour
N5,今,コン | キン | いま,now
N5,後,ゴ | コウ | のち | うし.ろ | うしろ | あと | おく.れる,behind | back | later
N5,天,テン | あまつ | あめ | あま~,heavens | sky | imperial
N5,名,メイ | ミョウ | な | ~な,name | noted | distinguished | reputation
N5,校,コウ | キョウ,exam | school | printing | proof | correction
N5,上,ジョウ | ショウ | シャン | うえ | ~うえ | うわ~ | かみ | あ.げる | ~あ.げる | あ.がる | ~あ.がる | あ.がり | ~あ.がり | のぼ.る | のぼ.り | のぼ.せる | のぼ.す | たてまつ.る,above | up
N5,前,ゼン | まえ | ~まえ,in front | before
N5,小,ショウ | ちい.さい | こ~ | お~ | さ~,little | small
N5,読,ドク | トク | トウ | よ.む | ~よ.み,read
N5,五,ゴ | いつ | いつ.つ,five
N5,川,セン | かわ,stream | river | river or three-stroke river radical (no. 47)
N5,母,ボ | はは | も,mother
N5,水,スイ | みず | みず~,water
N5,金,キン | コン | ゴン | かね | かな~ | ~がね,gold
N5,休,キュウ | やす.む | やす.まる | やす.める,rest | day off | retire | sleep
N5,年,ネン | とし,year | counter for years
N5,外,ガイ | ゲ | そと | ほか | はず.す | はず.れる | と~,outside
N5,国,コク | くに,country
N5,友,ユウ | とも,friend
N5,出,シュツ | スイ | で.る | ~で | だ.す | ~だ.す | い.でる | い.だす,exit | leave | go out | come out | put out | protrude
N5,毎,マイ | ごと | ~ごと.に,every
N5,車,シャ | くるま,car
N5,午,ゴ | うま,noon | sign of the horse | 11AM-1PM | seventh sign of Chinese zodiac
N5,聞,ブン | モン | き.く | き.こえる,hear | ask | listen
N5,月,ゲツ | ガツ | つき,month | moon
N5,書,ショ | か.く | ~が.き | ~がき,write
N5,父,フ | ちち,father
N5,西,セイ | サイ | ス | にし,west | Spain
N5,高,コウ | たか.い | たか | ~だか | たか.まる | たか.める,tall | high | expensive
N5,本,ホン | もと,book | present | main | origin | true | real | counter for long cylindrical things
N5,二,ニ | ジ | ふた | ふた.つ | ふたたび,two | two radical (no. 7)
N5,何,カ | なに | なん | なに~ | なん~,what
N5,人,ジン | ニン | ひと | ~り | ~と,person
N5,大,ダイ | タイ | おお~ | おお.きい | ~おお.いに,large | big
N5,雨,ウ | あめ | あま~ | ~さめ,rain
N5,男,ダン | ナン | おとこ | お,male
N5,行,コウ | ギョウ | アン | い.く | ゆ.く | ~ゆ.き | ~ゆき | ~い.き | ~いき | おこな.う | おこ.なう,going | journey | carry out | conduct | act | line | row | bank
N5,間,カン | ケン | あいだ | ま | あい,interval | space
N5,六,ロク | リク | む | む.つ | むっ.つ | むい,six
N5,千,セン | ち,thousand
N5,中,チュウ | なか | うち | あた.る,in | inside | middle | mean | center
N5,生,セイ | ショウ | い.きる | い.かす | い.ける | う.まれる | うま.れる | う.まれ | うまれ | う.む | お.う | は.える | は.やす | き | なま | なま~ | な.る | な.す | む.す | ~う,life | genuine | birth
N5,百,ヒャク | ビャク | もも,hundred
N5,円,エン | まる.い | まる | まど | まど.か | まろ.やか,circle | yen | round
N5,北,ホク | きた,north
N5,十,ジュウ | ジッ | ジュッ | とお | と,ten
N5,子,シ | ス | ツ | こ | ~こ | ね,child | sign of the rat | 11PM-1AM | first sign of Chinese zodiac
N5,見,ケン | み.る | み.える | み.せる,see | hopes | chances | idea | opinion | look at | visible
N5,電,デン,electricity
N5,右,ウ | ユウ | みぎ,right
N5,女,ジョ | ニョ | ニョウ | おんな | め,woman | female
N5,一,イチ | イツ | ひと~ | ひと.つ,one | one radical (no.1)
N5,左,サ | シャ | ひだり,left
N5,東,トウ | ひがし,east
N5,万,マン | バン | よろず,"ten thousand | 10,000"
N5,南,ナン | ナ | みなみ,south
N5,木,ボク | モク | き | こ~,tree | wood
N5,九,キュウ | ク | ここの | ここの.つ,nine
N5,食,ショク | ジキ | く.う | く.らう | た.べる | は.む,eat | food
N5,入,ニュウ | ジュ | い.る | ~い.る | ~い.り | い.れる | ~い.れ | はい.る,enter | insert
N5,白,ハク | ビャク | しろ | しら~ | しろ.い,white
N4,洋,ヨウ,ocean | sea | foreign | Western style
N4,心,シン | こころ | ~ごころ,heart | mind | spirit | heart radical (no. 61)
N4,立,リツ | リュウ | リットル | た.つ | ~た.つ | た.ち~ | た.てる | ~た.てる | た.て~ | たて~ | ~た.て | ~だ.て | ~だ.てる,stand up | rise | set up | erect
N4,兄,ケイ | キョウ | あに,elder brother | big brother
N4,病,ビョウ | ヘイ | や.む | ~や.み | やまい,ill | sick
N4,明,メイ | ミョウ | ミン | あ.かり | あか.るい | あか.るむ | あか.らむ | あき.らか | あ.ける | ~あ.け | あ.く | あ.くる | あ.かす,bright | light
N4,音,オン | イン | ~ノン | おと | ね,sound | noise
N4,有,ユウ | ウ | あ.る,possess | have | exist | happen | occur | approx
N4,題,ダイ,topic | subject
N4,花,カ | ケ | はな,flower
N4,通,ツウ | ツ | とお.る | とお.り | ~とお.り | ~どお.り | とお.す | とお.し | ~どお.し | かよ.う,"traffic | pass through | avenue | commute | counter for letters, notes, documents, etc."
N4,物,ブツ | モツ | もの | もの~,thing | object | matter
N4,用,ヨウ | もち.いる,utilize | business | service | use | employ
N4,店,テン | みせ | たな,store | shop
N4,運,ウン | はこ.ぶ,carry | luck | destiny | fate | lot | transport | progress | advance
N4,工,コウ | ク | グ,craft | construction | katakana e radical (no. 48)
N4,切,セツ | サイ | き.る | ~き.る | き.り | ~き.り | ~ぎ.り | き.れる | ~き.れる | き.れ | ~き.れ | ~ぎ.れ,cut | cutoff | be sharp
N4,死,シ | し.ぬ | し.に~,death | die
N4,安,アン | やす.い | やす.まる | やす | やす.らか,relax | cheap | low | quiet | rested | contented | peaceful
N4,図,ズ | ト | え | はか.る,map | drawing | plan | extraordinary | audacious
N4,走,ソウ | はし.る,run
N4,海,カイ | うみ,sea | ocean
N4,味,ミ | あじ | あじ.わう,flavor | taste
N4,力,リョク | リキ | リイ | ちから,power | strength | strong | strain | bear up | exert
N4,問,モン | と.う | と.い | とん,question | ask | problem
N4,口,コウ | ク | くち,mouth
N4,夜,ヤ | よ | よる,night | evening
N4,画,ガ | カク | エ | カイ | えが.く | かく.する | かぎ.る | はかりごと | はか.る,brush-stroke | picture
N4,院,イン,Inst. | institution | temple | mansion | school
N4,田,デン | た,rice field | rice paddy
N4,業,ギョウ | ゴウ | わざ,business | vocation | arts | performance
N4,別,ベツ | わか.れる | わ.ける,separate | branch off | diverge | fork | another | extra | specially
N4,社,シャ | やしろ,company | firm | office | association | shrine
N4,映,エイ | うつ.る | うつ.す | は.える | ~ば.え,reflect | reflection | projection
N4,事,ジ | ズ | こと | つか.う | つか.える,matter | thing | fact | business | reason | possibly
N4,主,シュ | ス | シュウ | ぬし | おも | あるじ,lord | chief | master | main thing | principal
N4,週,シュウ,week
N4,多,タ | おお.い | まさ.に | まさ.る,many | frequent | much
N4,試,シ | こころ.みる | ため.す,test | try | attempt | experiment | ordeal
N4,肉,ニク | しし,meat
N4,界,カイ,world | boundary
N4,同,ドウ | おな.じ,same | agree | equal
N4,医,イ | い.やす | い.する | くすし,doctor | medicine
N4,集,シュウ | あつ.まる | あつ.める | つど.う,gather | meet | congregate | swarm | flock
N4,古,コ | ふる.い | ふる~ | ~ふる.す,old
N4,知,チ | し.る | し.らせる,know | wisdom
N4,買,バイ | か.う,buy
N4,考,コウ | かんが.える | かんが.え,consider | think over
N4,弟,テイ | ダイ | デ | おとうと,younger brother | faithful service to elders
N4,言,ゲン | ゴン | い.う | こと,say | word
N4,質,シツ | シチ | チ | たち | ただ.す | もと | わりふ,substance | quality | matter | temperament
N4,少,ショウ | すく.ない | すこ.し,few | little
N4,牛,ギュウ | うし,cow
N4,特,トク,special
N4,京,キョウ | ケイ | キン | みやこ,capital | 10**16
N4,去,キョ | コ | さ.る | ~さ.る,gone | past | quit | leave | elapse | eliminate | divorce
N4,料,リョウ,fee | materials
N4,地,チ | ジ,ground | earth
N4,飲,イン | オン | の.む | ~の.み,drink | smoke | take
