iso_3166_2,prefecture_en,prefecture_kanji,prefecture_kana,capital_en,capital_kanji,population,area_km2
JP-01,Hokkaido,北海道,,Sapporo,札幌市,5432200.0,83424.34
JP-02,Aomori Prefecture,青森県,あおもりけん,Aomori,青森市,1232303.0,9645.64
JP-03,Iwate Prefecture,岩手県,いわてけん,Morioka,盛岡市,1205698.0,15275.01
JP-04,Miyagi Prefecture,宮城県,みやぎけん,Sendai,仙台市,2288456.0,7282.29
JP-05,Akita Prefecture,秋田県,あきたけん,Akita,秋田市,946380.0,11637.52
JP-06,Yamagata Prefecture,山形県,やまがたけん,Yamagata,山形市,1063231.0,9323.15
JP-07,Fukushima Prefecture,福島県,ふくしまけん,Fukushima,福島市,1825325.0,13784.14
JP-08,Ibaraki Prefecture,茨城県,いばらきけん,Mito,水戸市,2862372.0,6097.39
JP-09,Tochigi Prefecture,栃木県,とちぎけん,Utsunomiya,宇都宮市,1927754.0,6408.09
JP-10,Gunma Prefecture,群馬県,ぐんまけん,Maebashi,前橋市,1934920.0,6362.28
JP-11,Saitama Prefecture,埼玉県,さいたまけん,Saitama,さいたま市,7343100.0,3797.75
JP-12,Chiba Prefecture,千葉県,ちばけん,Chiba,千葉市,6279002.0,5157.5
JP-13,Tokyo,東京都,とうきょうと,Shinjuku,新宿区,14264798.0,2194.05
JP-14,Kanagawa Prefecture,神奈川県,かながわけん,Yokohama,横浜市,9216009.0,2416.1
JP-15,Niigata Prefecture,新潟県,にいがたけん,Niigata,新潟市,2192319.0,12582.47
JP-16,Toyama Prefecture,富山県,とやまけん,Toyama,富山市,1031262.0,4247.22
JP-17,Ishikawa Prefecture,石川県,いしかわけん,Kanazawa,金沢市,1132497.0,4185.22
JP-18,Fukui Prefecture,福井県,ふくいけん,Fukui,福井市,764533.0,4188.99
JP-19,Yamanashi Prefecture,山梨県,やまなしけん,Kofu,甲府市,803963.0,4465.38
JP-20,Nagano Prefecture,長野県,ながのけん,Nagano,長野市,2024073.0,13585.22
JP-21,Gifu Prefecture,岐阜県,ぎふけん,Gifu,岐阜市,1975397.0,10621.17
JP-22,Shizuoka Prefecture,静岡県,しずおかけん,Shizuoka,静岡市,3609465.0,7779.63
JP-23,Aichi Prefecture,愛知県,あいちけん,Nagoya,名古屋市,7521192.0,5165.04
JP-24,Mie Prefecture,三重県,みえけん,Tsu,津市,1768632.0,5777.22
JP-25,Shiga Prefecture,滋賀県,しがけん,Otsu,大津市,1411168.0,4017.36
JP-26,Kyoto Prefecture,京都府,きょうとふ,Kyoto,京都市,2563192.0,4612.2
JP-27,Osaka Prefecture,大阪府,おおさかふ,Osaka,大阪市,8826684.0,1905.34
JP-28,Hyōgo Prefecture,兵庫県,ひょうごけん,Kobe,神戸市,5453392.0,8400.96
JP-29,Nara Prefecture,奈良県,ならけん,Nara,奈良市,1319305.0,3691.09
JP-30,Wakayama Prefecture,和歌山県,わかやまけん,Wakayama,和歌山市,910687.0,4725.67
JP-31,Tottori Prefecture,鳥取県,とっとりけん,Tottori,鳥取市,549925.0,3507.05
JP-32,Shimane Prefecture,島根県,しまねけん,Matsue,松江市,664539.0,6707.95
JP-33,Okayama Prefecture,岡山県,おかやまけん,Okayama,岡山市,1878884.0,7113.21
JP-34,Hiroshima Prefecture,広島県,ひろしまけん,Hiroshima,広島市,2790804.0,8476.95
JP-35,Yamaguchi Prefecture,山口県,やまぐちけん,Yamaguchi,山口市,1336522.0,6110.94
JP-36,Tokushima Prefecture,徳島県,とくしまけん,Tokushima,徳島市,721721.0,4144.95
JP-37,Kagawa Prefecture,香川県,かがわけん,Takamatsu,高松市,949358.0,1861.7
JP-38,Ehime Prefecture,愛媛県,えひめけん,Matsuyama,松山市,1321580.0,5676.44
JP-39,Kōchi Prefecture,高知県,こうちけん,Kōchi-shi,高知市,688870.0,7103.93
JP-40,Fukuoka Prefecture,福岡県,ふくをかけん,Fukuoka,福岡市,5108038.0,4971.01
JP-41,Saga Prefecture,佐賀県,さがけん,Saga,佐賀市,809824.0,2439.58
JP-42,Nagasaki Prefecture,長崎県,ながさきけん,Nagasaki,長崎市,1307309.0,4105.47
JP-43,Kumamoto Prefecture,熊本県,くまもとけん,Kumamoto,熊本市,1732644.0,7404.14
JP-44,Ōita Prefecture,大分県,おおいたけん,Ōita-shi,大分市,1121589.0,6340.71
JP-45,Miyazaki Prefecture,宮崎県,みやざきけん,Miyazaki,宮崎市,1061032.0,7735.99
JP-46,Kagoshima Prefecture,鹿児島県,かごしまけん,Kagoshima,鹿児島市,1586435.0,9132.42
JP-47,Okinawa Prefecture,沖縄県,おきなわけん,Naha,那覇市,1460652.0,2280.98
