"# Comic Market (Comiket) chronology: edition, year, dates, doujin circles, attendance, venue."
"# Derived 2026-09-17 from the English Wikipedia article ""Comiket"" (section ""List of Comic Markets""),"
"# via the MediaWiki action=parse API (prop=wikitext), then template/markup stripped. Wikipedia text is CC BY-SA 4.0."
# Wikipedia cites the Comic Market Preparatory Committee's own published chronology (comiket.co.jp) for these figures.
"# ATTENDANCE IS THE COMMITTEE'S OWN MEASURE: the sum of attendees on each day, NOT unique visitors."
"# ""CS"" rows are Comiket Special editions. Blank = not published. TBA = future event."
# This is a TERTIARY source. Verify any figure you intend to quote against comiket.co.jp.
edition,year,dates,doujin_circles,attendance,venue
1,1975,21 December,32,700,Nissho Hall
2,1976,4 April,39,550,Itabashi Industrial Union Building (板橋産業連合会館)
3,1976,25 July,56,500,Itabashi Industrial Union Building (板橋産業連合会館)
4,1976,19 December,80,700,Itabashi Industrial Union Building (板橋産業連合会館)
5,1977,10 April,94,1300,"Ōta, Tokyo (Ōta City Industrial Building)"
6,1977,30-31 July,100,2000,"Ōta, Tokyo (Ōta City Industrial Building)"
7,1977,18 December,131,2500,"Ōta, Tokyo (Ōta City Industrial Building)"
8,1978,2 April,144,2000,"Ōta, Tokyo (Ōta City Industrial Building)"
9,1978,29-30 July,200,3000,Yotsuya Public Hall (四谷公会堂)
10,1978,17 December,200,3000,Ōta City Industrial Building
11,1979,8 April,218,3000,Ōta City Industrial Building
12,1979,28-29 July,330,4000,Tokyo Metropolitan Industrial Trade Center
13,1979,23 December,290,4000,Ōta City Industrial Building
14,1980,11 May,380,6000,"Kawasaki, Kanagawa (Kawasaki Shimin Plaza)"
15,1980,14 September,340,7000,"Kawasaki, Kanagawa (Kawasaki Shimin Plaza)"
16,1980,14 December,340,7000,"Kawasaki, Kanagawa (Kawasaki Shimin Plaza)"
17,1981,5 April,400,8000,"Kawasaki, Kanagawa (Kawasaki Shimin Plaza)"
18,1981,15-16 August,512,10000,Yokohama Sanbo Hall
19,1981,20 December,600,9000,Harumi Fairgrounds
20,1982,21 March,780,9000,Harumi Fairgrounds
21,1982,8 August,970,10000,Harumi Fairgrounds
22,1982,26 December,1060,8000,Harumi Fairgrounds
23,1983,3 April,1200,13000,Harumi Fairgrounds
24,1983,7 August,1500,18000,Harumi Fairgrounds
25,1983,25 December,1550,25000,Harumi Fairgrounds
26,1984,19 August,2400,30000,Harumi Fairgrounds
27,1984,23 December,2300,25000,Harumi Fairgrounds
28,1985,11 August,3450,30000,Harumi Fairgrounds
29,1985,29 December,4000,30000,Harumi Fairgrounds
30,1986,10 August,3900,35000,Harumi Fairgrounds
31,1986,27-28 December,4400,40000,Tokyo Ryutsu Center
32,1987,8-9 August,4400,60000,Tokyo Ryutsu Center
33,1987,26-27 December,4400,55000,Tokyo Ryutsu Center
34,1988,13-14 August,9200,70000,Harumi Fairgrounds
35,1989,25-26 March,8900,70000,Harumi Fairgrounds
36,1989,13-14 August,10000,100000,Harumi Fairgrounds
37,1989,23-24 December,11000,120000,Makuhari Messe
38,1990,18-19 August,13000,230000,Makuhari Messe
39,1990,23-24 December,13000,250000,Makuhari Messe
