kanji,level
一,10級
右,10級
雨,10級
円,10級
王,10級
音,10級
下,10級
火,10級
花,10級
貝,10級
学,10級
気,10級
休,10級
玉,10級
金,10級
九,10級
空,10級
月,10級
犬,10級
見,10級
五,10級
口,10級
校,10級
左,10級
三,10級
山,10級
四,10級
子,10級
糸,10級
字,10級
耳,10級
七,10級
車,10級
手,10級
十,10級
出,10級
女,10級
小,10級
上,10級
森,10級
人,10級
水,10級
正,10級
生,10級
青,10級
石,10級
赤,10級
先,10級
千,10級
川,10級
早,10級
草,10級
足,10級
村,10級
大,10級
男,10級
竹,10級
中,10級
虫,10級
町,10級
天,10級
田,10級
土,10級
二,10級
日,10級
入,10級
年,10級
白,10級
八,10級
百,10級
文,10級
本,10級
名,10級
木,10級
目,10級
夕,10級
立,10級
力,10級
林,10級
六,10級
引,9級
羽,9級
雲,9級
園,9級
遠,9級
黄,9級
何,9級
夏,9級
家,9級
科,9級
歌,9級
画,9級
会,9級
回,9級
海,9級
絵,9級
外,9級
角,9級
楽,9級
活,9級
間,9級
丸,9級
岩,9級
顔,9級
帰,9級
汽,9級
記,9級
弓,9級
牛,9級
魚,9級
京,9級
強,9級
教,9級
近,9級
兄,9級
形,9級
計,9級
元,9級
原,9級
言,9級
古,9級
戸,9級
午,9級
後,9級
語,9級
交,9級
光,9級
公,9級
工,9級
広,9級
考,9級
行,9級
高,9級
合,9級
国,9級
黒,9級
今,9級
才,9級
細,9級
作,9級
算,9級
姉,9級
市,9級
思,9級
止,9級
紙,9級
寺,9級
時,9級
自,9級
室,9級
社,9級
弱,9級
首,9級
秋,9級
週,9級
春,9級
書,9級
少,9級
場,9級
色,9級
食,9級
心,9級
新,9級
親,9級
図,9級
数,9級
星,9級
晴,9級
声,9級
西,9級
切,9級
雪,9級
線,9級
船,9級
前,9級
組,9級
走,9級
多,9級
太,9級
体,9級
台,9級
谷,9級
知,9級
地,9級
池,9級
茶,9級
昼,9級
朝,9級
長,9級
鳥,9級
直,9級
通,9級
弟,9級
店,9級
点,9級
電,9級
冬,9級
刀,9級
東,9級
当,9級
答,9級
頭,9級
同,9級
道,9級
読,9級
内,9級
南,9級
肉,9級
馬,9級
買,9級
売,9級
麦,9級
半,9級
番,9級
父,9級
風,9級
分,9級
聞,9級
米,9級
歩,9級
母,9級
方,9級
北,9級
妹,9級
毎,9級
万,9級
明,9級
鳴,9級
毛,9級
門,9級
夜,9級
野,9級
矢,9級
友,9級
曜,9級
用,9級
来,9級
理,9級
里,9級
話,9級
悪,8級
安,8級
暗,8級
委,8級
意,8級
医,8級
育,8級
員,8級
飲,8級
院,8級
運,8級
泳,8級
駅,8級
央,8級
横,8級
屋,8級
温,8級
化,8級
荷,8級
界,8級
開,8級
階,8級
寒,8級
感,8級
漢,8級
館,8級
岸,8級
期,8級
起,8級
客,8級
宮,8級
急,8級
球,8級
究,8級
級,8級
去,8級
橋,8級
業,8級
局,8級
曲,8級
銀,8級
区,8級
苦,8級
具,8級
君,8級
係,8級
軽,8級
決,8級
血,8級
研,8級
県,8級
庫,8級
湖,8級
向,8級
幸,8級
港,8級
号,8級
根,8級
祭,8級
坂,8級
皿,8級
仕,8級
使,8級
始,8級
指,8級
死,8級
詩,8級
歯,8級
事,8級
持,8級
次,8級
式,8級
実,8級
写,8級
者,8級
主,8級
取,8級
守,8級
酒,8級
受,8級
州,8級
拾,8級
終,8級
習,8級
集,8級
住,8級
重,8級
宿,8級
所,8級
暑,8級
助,8級
勝,8級
商,8級
昭,8級
消,8級
章,8級
乗,8級
植,8級
深,8級
申,8級
真,8級
神,8級
身,8級
進,8級
世,8級
整,8級
昔,8級
全,8級
想,8級
相,8級
送,8級
息,8級
速,8級
族,8級
他,8級
打,8級
対,8級
待,8級
代,8級
第,8級
題,8級
炭,8級
短,8級
談,8級
着,8級
柱,8級
注,8級
丁,8級
帳,8級
調,8級
追,8級
定,8級
庭,8級
笛,8級
鉄,8級
転,8級
登,8級
都,8級
度,8級
島,8級
投,8級
湯,8級
等,8級
豆,8級
動,8級
童,8級
農,8級
波,8級
配,8級
倍,8級
箱,8級
畑,8級
発,8級
反,8級
板,8級
悲,8級
皮,8級
美,8級
鼻,8級
筆,8級
氷,8級
表,8級
病,8級
秒,8級
品,8級
負,8級
部,8級
服,8級
福,8級
物,8級
平,8級
返,8級
勉,8級
放,8級
味,8級
命,8級
面,8級
問,8級
役,8級
薬,8級
油,8級
有,8級
由,8級
遊,8級
予,8級
様,8級
洋,8級
羊,8級
葉,8級
陽,8級
落,8級
流,8級
旅,8級
両,8級
緑,8級
礼,8級
列,8級
練,8級
路,8級
和,8級
愛,7級
案,7級
以,7級
位,7級
囲,7級
胃,7級
衣,7級
印,7級
栄,7級
英,7級
塩,7級
億,7級
加,7級
果,7級
課,7級
貨,7級
芽,7級
改,7級
械,7級
害,7級
街,7級
各,7級
覚,7級
完,7級
官,7級
管,7級
観,7級
関,7級
願,7級
喜,7級
器,7級
希,7級
旗,7級
機,7級
季,7級
紀,7級
議,7級
救,7級
求,7級
泣,7級
給,7級
挙,7級
漁,7級
競,7級
共,7級
協,7級
鏡,7級
極,7級
訓,7級
軍,7級
郡,7級
型,7級
径,7級
景,7級
芸,7級
欠,7級
結,7級
健,7級
建,7級
験,7級
固,7級
候,7級
功,7級
好,7級
康,7級
航,7級
告,7級
差,7級
最,7級
菜,7級
材,7級
昨,7級
刷,7級
察,7級
札,7級
殺,7級
参,7級
散,7級
産,7級
残,7級
司,7級
史,7級
士,7級
氏,7級
試,7級
児,7級
治,7級
辞,7級
失,7級
借,7級
種,7級
周,7級
祝,7級
順,7級
初,7級
唱,7級
松,7級
焼,7級
照,7級
省,7級
笑,7級
象,7級
賞,7級
信,7級
臣,7級
成,7級
清,7級
静,7級
席,7級
積,7級
折,7級
節,7級
説,7級
戦,7級
浅,7級
選,7級
然,7級
倉,7級
巣,7級
争,7級
側,7級
束,7級
続,7級
卒,7級
孫,7級
帯,7級
隊,7級
達,7級
単,7級
置,7級
仲,7級
貯,7級
兆,7級
腸,7級
低,7級
停,7級
底,7級
的,7級
典,7級
伝,7級
徒,7級
努,7級
灯,7級
働,7級
堂,7級
得,7級
特,7級
毒,7級
熱,7級
念,7級
敗,7級
梅,7級
博,7級
飯,7級
費,7級
飛,7級
必,7級
標,7級
票,7級
不,7級
付,7級
夫,7級
府,7級
副,7級
粉,7級
兵,7級
別,7級
変,7級
辺,7級
便,7級
包,7級
法,7級
望,7級
牧,7級
末,7級
満,7級
未,7級
脈,7級
民,7級
無,7級
約,7級
勇,7級
要,7級
養,7級
浴,7級
利,7級
陸,7級
料,7級
良,7級
量,7級
輪,7級
類,7級
令,7級
例,7級
冷,7級
歴,7級
連,7級
労,7級
老,7級
録,7級
圧,6級
易,6級
移,6級
因,6級
営,6級
永,6級
衛,6級
液,6級
益,6級
演,6級
往,6級
応,6級
恩,6級
仮,6級
価,6級
可,6級
河,6級
過,6級
賀,6級
解,6級
快,6級
格,6級
確,6級
額,6級
刊,6級
幹,6級
慣,6級
眼,6級
基,6級
寄,6級
規,6級
技,6級
義,6級
逆,6級
久,6級
旧,6級
居,6級
許,6級
境,6級
興,6級
均,6級
禁,6級
句,6級
群,6級
経,6級
潔,6級
件,6級
券,6級
検,6級
険,6級
減,6級
現,6級
限,6級
個,6級
故,6級
護,6級
効,6級
厚,6級
構,6級
耕,6級
講,6級
鉱,6級
混,6級
査,6級
再,6級
妻,6級
採,6級
災,6級
際,6級
在,6級
罪,6級
財,6級
桜,6級
雑,6級
賛,6級
酸,6級
師,6級
志,6級
支,6級
枝,6級
資,6級
飼,6級
似,6級
示,6級
識,6級
質,6級
舎,6級
謝,6級
授,6級
修,6級
術,6級
述,6級
準,6級
序,6級
承,6級
招,6級
証,6級
常,6級
情,6級
条,6級
状,6級
織,6級
職,6級
制,6級
勢,6級
性,6級
政,6級
精,6級
製,6級
税,6級
績,6級
責,6級
接,6級
設,6級
絶,6級
舌,6級
銭,6級
祖,6級
素,6級
総,6級
像,6級
増,6級
造,6級
則,6級
測,6級
属,6級
損,6級
態,6級
貸,6級
退,6級
団,6級
断,6級
築,6級
張,6級
提,6級
程,6級
敵,6級
適,6級
統,6級
導,6級
銅,6級
徳,6級
独,6級
任,6級
燃,6級
能,6級
破,6級
判,6級
版,6級
犯,6級
比,6級
肥,6級
非,6級
備,6級
俵,6級
評,6級
貧,6級
婦,6級
富,6級
布,6級
武,6級
復,6級
複,6級
仏,6級
編,6級
弁,6級
保,6級
墓,6級
報,6級
豊,6級
暴,6級
貿,6級
防,6級
務,6級
夢,6級
迷,6級
綿,6級
輸,6級
余,6級
預,6級
容,6級
率,6級
略,6級
留,6級
領,6級
異,5級
遺,5級
域,5級
宇,5級
映,5級
延,5級
沿,5級
我,5級
灰,5級
拡,5級
閣,5級
革,5級
割,5級
株,5級
巻,5級
干,5級
看,5級
簡,5級
危,5級
揮,5級
机,5級
貴,5級
疑,5級
吸,5級
供,5級
胸,5級
郷,5級
勤,5級
筋,5級
敬,5級
系,5級
警,5級
劇,5級
激,5級
穴,5級
憲,5級
権,5級
絹,5級
厳,5級
源,5級
呼,5級
己,5級
誤,5級
后,5級
孝,5級
皇,5級
紅,5級
鋼,5級
降,5級
刻,5級
穀,5級
骨,5級
困,5級
砂,5級
座,5級
済,5級
裁,5級
策,5級
冊,5級
蚕,5級
姿,5級
私,5級
至,5級
視,5級
詞,5級
誌,5級
磁,5級
射,5級
捨,5級
尺,5級
若,5級
樹,5級
収,5級
宗,5級
就,5級
衆,5級
従,5級
縦,5級
縮,5級
熟,5級
純,5級
処,5級
署,5級
諸,5級
除,5級
傷,5級
将,5級
障,5級
城,5級
蒸,5級
針,5級
仁,5級
垂,5級
推,5級
寸,5級
盛,5級
聖,5級
誠,5級
宣,5級
専,5級
泉,5級
洗,5級
染,5級
善,5級
創,5級
奏,5級
層,5級
操,5級
窓,5級
装,5級
臓,5級
蔵,5級
存,5級
尊,5級
宅,5級
担,5級
探,5級
誕,5級
暖,5級
段,5級
値,5級
宙,5級
忠,5級
著,5級
庁,5級
潮,5級
頂,5級
賃,5級
痛,5級
展,5級
党,5級
糖,5級
討,5級
届,5級
難,5級
乳,5級
認,5級
納,5級
脳,5級
派,5級
俳,5級
拝,5級
背,5級
肺,5級
班,5級
晩,5級
否,5級
批,5級
秘,5級
腹,5級
奮,5級
並,5級
閉,5級
陛,5級
片,5級
補,5級
暮,5級
宝,5級
訪,5級
亡,5級
忘,5級
棒,5級
枚,5級
幕,5級
密,5級
盟,5級
模,5級
訳,5級
優,5級
郵,5級
幼,5級
欲,5級
翌,5級
乱,5級
卵,5級
覧,5級
裏,5級
律,5級
臨,5級
朗,5級
論,5級
握,4級
扱,4級
依,4級
偉,4級
威,4級
為,4級
維,4級
緯,4級
違,4級
井,4級
壱,4級
稲,4級
芋,4級
陰,4級
隠,4級
影,4級
鋭,4級
越,4級
援,4級
煙,4級
縁,4級
鉛,4級
汚,4級
奥,4級
押,4級
沖,4級
憶,4級
暇,4級
箇,4級
菓,4級
雅,4級
介,4級
壊,4級
戒,4級
皆,4級
獲,4級
較,4級
刈,4級
乾,4級
勧,4級
歓,4級
汗,4級
環,4級
甘,4級
監,4級
鑑,4級
含,4級
奇,4級
幾,4級
祈,4級
輝,4級
鬼,4級
儀,4級
戯,4級
詰,4級
却,4級
脚,4級
丘,4級
及,4級
朽,4級
巨,4級
拠,4級
距,4級
凶,4級
叫,4級
恐,4級
況,4級
狂,4級
狭,4級
響,4級
驚,4級
仰,4級
駆,4級
屈,4級
掘,4級
繰,4級
傾,4級
恵,4級
継,4級
迎,4級
撃,4級
兼,4級
剣,4級
圏,4級
堅,4級
肩,4級
軒,4級
遣,4級
玄,4級
枯,4級
誇,4級
鼓,4級
互,4級
御,4級
恒,4級
抗,4級
攻,4級
更,4級
稿,4級
荒,4級
項,4級
香,4級
豪,4級
腰,4級
込,4級
婚,4級
鎖,4級
彩,4級
歳,4級
載,4級
剤,4級
咲,4級
惨,4級
伺,4級
刺,4級
旨,4級
紫,4級
脂,4級
雌,4級
執,4級
芝,4級
斜,4級
煮,4級
釈,4級
寂,4級
朱,4級
狩,4級
趣,4級
需,4級
秀,4級
舟,4級
襲,4級
柔,4級
獣,4級
瞬,4級
旬,4級
盾,4級
巡,4級
召,4級
床,4級
沼,4級
称,4級
紹,4級
詳,4級
丈,4級
畳,4級
飾,4級
殖,4級
触,4級
侵,4級
寝,4級
慎,4級
振,4級
浸,4級
薪,4級
震,4級
尋,4級
尽,4級
陣,4級
吹,4級
澄,4級
是,4級
姓,4級
征,4級
跡,4級
占,4級
扇,4級
鮮,4級
訴,4級
僧,4級
燥,4級
騒,4級
贈,4級
即,4級
俗,4級
耐,4級
替,4級
拓,4級
沢,4級
濁,4級
脱,4級
丹,4級
嘆,4級
淡,4級
端,4級
弾,4級
恥,4級
致,4級
遅,4級
蓄,4級
徴,4級
跳,4級
沈,4級
珍,4級
堤,4級
抵,4級
摘,4級
滴,4級
添,4級
殿,4級
吐,4級
渡,4級
途,4級
奴,4級
怒,4級
倒,4級
唐,4級
塔,4級
桃,4級
盗,4級
到,4級
踏,4級
逃,4級
透,4級
闘,4級
胴,4級
峠,4級
突,4級
曇,4級
鈍,4級
弐,4級
悩,4級
濃,4級
杯,4級
輩,4級
拍,4級
泊,4級
薄,4級
迫,4級
爆,4級
髪,4級
罰,4級
抜,4級
搬,4級
繁,4級
般,4級
販,4級
範,4級
盤,4級
彼,4級
疲,4級
被,4級
避,4級
尾,4級
微,4級
匹,4級
描,4級
浜,4級
敏,4級
怖,4級
敷,4級
普,4級
浮,4級
腐,4級
膚,4級
賦,4級
舞,4級
幅,4級
払,4級
噴,4級
柄,4級
壁,4級
舗,4級
捕,4級
峰,4級
抱,4級
砲,4級
傍,4級
坊,4級
帽,4級
忙,4級
冒,4級
肪,4級
凡,4級
盆,4級
慢,4級
漫,4級
妙,4級
眠,4級
矛,4級
霧,4級
娘,4級
茂,4級
猛,4級
網,4級
黙,4級
紋,4級
躍,4級
雄,4級
与,4級
誉,4級
溶,4級
謡,4級
踊,4級
翼,4級
頼,4級
雷,4級
絡,4級
欄,4級
離,4級
粒,4級
慮,4級
療,4級
隣,4級
涙,4級
隷,4級
