grammar_point,ruby,reference,dojg,donnatoki,hjg
あげる(1),,1.  Basic Japanese Grammar,basicあげる(1),,
あげる(2),,1.  Basic Japanese Grammar,basicあげる(2),,
間・あいだ(に),,1.  Basic Japanese Grammar,basic間・あいだ(に),,
あまり,,1.  Basic Japanese Grammar,basicあまり,,
ある(1),,1.  Basic Japanese Grammar,basicある(1),,
ある(2),,1.  Basic Japanese Grammar,basicある(2),,
あとで,,1.  Basic Japanese Grammar,basicあとで,,
ば,,1.  Basic Japanese Grammar,basicば,,
ばかり,,1.  Basic Japanese Grammar,basicばかり,,
ばよかった,,1.  Basic Japanese Grammar,basicばよかった,,
だい,,1.  Basic Japanese Grammar,basicだい,,
だけ,,1.  Basic Japanese Grammar,basicだけ,,
だけで(は)なく～(も),,1.  Basic Japanese Grammar,basicだけで(は)なく～(も),,
だろう,,1.  Basic Japanese Grammar,basicだろう,,
出す・だす,,1.  Basic Japanese Grammar,basic出す・だす,,
で(1),,1.  Basic Japanese Grammar,basicで(1),,
で(2),,1.  Basic Japanese Grammar,basicで(2),,
で(3),,1.  Basic Japanese Grammar,basicで(3),,
で(4),,1.  Basic Japanese Grammar,basicで(4),,
でも,,1.  Basic Japanese Grammar,basicでも,,
どう,,1.  Basic Japanese Grammar,basicどう,,
へ,,1.  Basic Japanese Grammar,basicへ,,
が(1),,1.  Basic Japanese Grammar,basicが(1),,
が(2),,1.  Basic Japanese Grammar,basicが(2),,
がる,,1.  Basic Japanese Grammar,basicがる,,
ごろ,,1.  Basic Japanese Grammar,basicごろ,,
ごとに,,1.  Basic Japanese Grammar,basicごとに,,
始める・はじめる,,1.  Basic Japanese Grammar,basic始める・はじめる,,
はず,,1.  Basic Japanese Grammar,basicはず,,
ほど,,1.  Basic Japanese Grammar,basicほど,,
ほうがいい,,1.  Basic Japanese Grammar,basicほうがいい,,
ほうが~より,,1.  Basic Japanese Grammar,basicほうが~より,,
欲しい・ほしい(1),,1.  Basic Japanese Grammar,basic欲しい・ほしい(1),,
欲しい・ほしい(2),,1.  Basic Japanese Grammar,basic欲しい・ほしい(2),,
一番・いちばん,,1.  Basic Japanese Grammar,basic一番・いちばん,,
行く・いく(1),,1.  Basic Japanese Grammar,basic行く・いく(1),,
行く・いく(2),,1.  Basic Japanese Grammar,basic行く・いく(2),,
いる(1),,1.  Basic Japanese Grammar,basicいる(1),,
いる(2),,1.  Basic Japanese Grammar,basicいる(2),,
要る・いる(3),,1.  Basic Japanese Grammar,basic要る・いる(3),,
自分・じぶん(1),,1.  Basic Japanese Grammar,basic自分・じぶん(1),,
自分・じぶん(2),,1.  Basic Japanese Grammar,basic自分・じぶん(2),,
か(1),,1.  Basic Japanese Grammar,basicか(1),,
か(2),,1.  Basic Japanese Grammar,basicか(2),,
か(どうか),,1.  Basic Japanese Grammar,basicか(どうか),,
かい,,1.  Basic Japanese Grammar,basicかい,,
かもしれない,,1.  Basic Japanese Grammar,basicかもしれない,,
から(1),,1.  Basic Japanese Grammar,basicから(1),,
から(2),,1.  Basic Japanese Grammar,basicから(2),,
から(3),,1.  Basic Japanese Grammar,basicから(3),,
かしら,,1.  Basic Japanese Grammar,basicかしら,,
方・かた,,1.  Basic Japanese Grammar,basic方・かた,,
代わりに・かわりに,,1.  Basic Japanese Grammar,basic代わりに・かわりに,,
けれども,,1.  Basic Japanese Grammar,basicけれども,,
聞こえる・きこえる,,1.  Basic Japanese Grammar,basic聞こえる・きこえる,,
嫌いだ・きらいだ,,1.  Basic Japanese Grammar,basic嫌いだ・きらいだ,,
こと(1),,1.  Basic Japanese Grammar,basicこと(1),,
こと(2),,1.  Basic Japanese Grammar,basicこと(2),,
ことがある(1),,1.  Basic Japanese Grammar,basicことがある(1),,
