strokes,image,position,meaning,reading,note
1,kana/radical/001.png,,"one, horizontal stroke",いち,
1,kana/radical/002.png,,vertical stroke,たてぼう,
1,kana/radical/003.png,,dot,てん,
1,kana/radical/004.png,,diagonal sweeping stroke,の,
1,kana/radical/004a.png,kanmuri,diagonal sweeping stroke,のかんむり,a variant of ⼃（の）
1,kana/radical/005.png,,the second,おつ,
1,kana/radical/006.png,,the second,おつ,a variant of ⼄（おつ）
1,kana/radical/007.png,,vertical stroke with a hook,はねぼう,
2,kana/radical/008.png,,two,に,
2,kana/radical/009.png,kanmuri,"lid, top",なべぶた,
2,kana/radical/010.png,,person,ひと,
2,kana/radical/011.png,hen,person,にんべん,a variant of ⼈（ひと）
2,kana/radical/012.png,kanmuri,person,ひとやね,a variant of ⼈（ひと）
2,kana/radical/013.png,ashi,human legs,ひとあし,
2,kana/radical/014.png,,to enter,いる,
2,kana/radical/015.png,,eight,はち,
2,kana/radical/016.png,,eight,はちがしら,a variant of ⼋（はち）
2,kana/radical/017.png,keigamae,to enclose,けいがまえ,
2,kana/radical/018.png,kanmuri,"cover, crown",わかんむり,
2,kana/radical/019.png,hen,ice,にすい,
2,kana/radical/020.png,tsukuri,table,きにょう,
2,kana/radical/021.png,kanmuri,wind,かぜかんむり,a variant of ⼏（きにょう）
2,kana/radical/022.png,nyou,"container, open box",かんにょう,
2,kana/radical/023.png,,"knife, sword",かたな,
2,kana/radical/024.png,tsukuri,"knife, sword",りっとう,a variant of ⼑（かたな）
2,kana/radical/025.png,,power,ちから,
2,kana/radical/026.png,tsutsumigamae,to wrap,つつみがまえ,
2,kana/radical/027.png,tsukuri,spoon,さじ,
2,kana/radical/028.png,hakogamae,box,はこがまえ,
2,kana/radical/029.png,hakogamae,"to conceal, hide",かくしがまえ,
2,kana/radical/030.png,,ten,じゅう,
2,kana/radical/031.png,,oracle,ぼく,
2,kana/radical/032.png,tsukuri,"stamp, seal",ふしづくり,
2,kana/radical/033.png,tare,cliff,がんだれ,
2,kana/radical/034.png,,"private, Katakana Mu",む,
2,kana/radical/035.png,,"again, right hand",また,
3,kana/radical/036.png,,mouth,くち,
3,kana/radical/037.png,hen,mouth,くちへん,a variant of ⼝（くち）
3,kana/radical/038.png,kunigamae,"border, territorial boundaries",くにがまえ,
3,kana/radical/039.png,,earth,つち,
3,kana/radical/040.png,hen,earth,つちへん,a variant of ⼟（つち）
3,kana/radical/041.png,,"man, scholar, samurai",さむらい,
3,kana/radical/042.png,kanmuri,"man, scholar, samurai",さむらいかんむり,a variant of ⼠（さむらい）
3,kana/radical/043.png,,to follow,のまた,
3,kana/radical/044.png,ashi,to go slowly,なつあし,
3,kana/radical/045.png,,evening,ゆうべ,
3,kana/radical/046.png,,"large, big",だい,
3,kana/radical/047.png,,woman,おんな,
3,kana/radical/048.png,hen,woman,おんなへん,a variant of ⼥（おんな）
3,kana/radical/049.png,,"child, son",こ,
3,kana/radical/050.png,hen,"child, son",こへん,a variant of ⼦（こ）
3,kana/radical/051.png,kanmuri,"roof, house",うかんむり,
3,kana/radical/052.png,,"inch, (2.25 cm)",すん,
3,kana/radical/053.png,tsukuri,"inch, (2.25 cm)",すんづくり,a variant of ⼨（すん）
3,kana/radical/054.png,,small,しょう,
