group	transitive_kanji	transitive_kana	transitive_pos	transitive_gloss	intransitive_kanji	intransitive_kana	intransitive_pos	intransitive_gloss
1	預ける	あずける	v1,vt	to give into custody; to leave (a child) in the care of; to entrust; to deposit	預かる	あずかる	v5r,vt	to keep in custody; to receive on deposit; to take charge of {NB: this allocation to Intransitive by Takasugi is dubious.}
1	受ける	うける	v1	to undertake; to accept; to take (lesson, test, damage); to undergo; to experience; to catch (e.g. a ball); to become popular	受かる	うかる	v5r	to pass (examination)
1	掛ける	かける	aux-v,v1	(1) to wear; to put on; to hang; to cover; (2) to sit down; (3) to make a phone call; (4) to multiply; (5) to turn on (a switch); to play (a record); (6) to begin to; (7) to pour (water)	掛かる	かかる	v5r,vi	to take (e.g. time, money, etc); to hang
1	授ける	さずける	v1	to grant; to award; to teach	授かる	さずかる	v5r	to be gifted; to be awarded
1	挙げる	あげる	v1	(1) to raise; to fly; (2) to give (an example)	挙がる	あがる	v5r	to become prosperous; to be captured
1	揚げる	あげる	v1	to lift; to fly	揚がる	あがる	v5r	to rise
1	空ける	あける	v1,vt	to emptyalso 開ける	空く	あく	v5k,vi	(1) to open; to become open; to become empty; (2) to be less crowdedalso 開く
1	片付ける	かたづける	v1,vt	(1) to tidy up; to put in order; to straighten up; to put away; (2) to settle (problem); to clear (dispute); (3) to finish; to bring something to an end; (4) to marry off (e.g. a daughter); (5) to do away with someone; to bump someone off	片付く	かたづく	v5k,vi	(1) to be put in order; to be put to rights; (2) to be disposed of; to be solved; (3) to be finished; (4) to be married (off)
1	負ける	まける	v1	to lose; to be defeated	負かす	まかす	v5s	to defeat
1	分ける	わける	v1	to divide; to separate; to make distinctions; to differentiate (between)	分かる	わかる	v5r	(1) to understand; to grasp; (2) to know; to realize; to realise
1	上げる	あげる	v1	to give; to raise; to elevate; to fly (kites); to praise; to increase; to advance; to promote; to vomit; to usher in; to admit; to send (to school); to offer; to present; to leave with; to finish; to arrange (expenses); to observe; to perform; to quote; to mention; to bear (a child); to improve (talents); to do up (the hair); to arrest; to engage; to fry; (rains) to stop	上がる	あがる	v5r	(1) to enter; to go up; to rise; to climb up; to advance; to appreciate; to be promoted; to improve; to call on; to be offered; to accrue; (2) to be finished; to go bankrupt; to be caught; to let up (rain); (3) to weaken (as a battery); (4) to get ruffled
1	下げる	さげる	v1	to hang; to lower; to move back; to wear; to dismiss; to grant	下がる	さがる	v5r	to hang down; to abate; to retire; to fall; to step back
1	繋げる	つなげる	v1	to connect also 繋ぐ [つなぐ]	繋がる	つながる	v5r	to be tied together; to be connected to; to be related to
1	広げる	ひろげる	v1	to spread; to extend; to expand; to enlarge; to widen; to broaden; to unfold; to open; to unroll	広がる	ひろがる	v5r	to spread (out); to extend; to stretch; to reach to; to get around
1	曲げる	まげる	v1	to bend; to crook; to lean	曲がる	まがる	v5r	to turn; to bend
1	混ぜる	まぜる	v1	to mix; to stir	混ざる	まざる	v5r,vi	to be mixed; to be blended with; to associate with; to mingle with; to join
1	捨てる	すてる	v1	to throw away; to cast aside; to abandon; to resign	廃る	すたる	v5r	to go out of use; to become obsolete; to die out; to go out of fashion
1	当てる	あてる	v1	(1) to hit; (2) to expose; (3) to apply (e.g. patch); (4) to allot; to call on someone (e.g. in class); (5) to guess (an answer); (6) to make a hit (e.g. in a lottery)	当たる	あたる	v5r	to be hit; to be successful; to face (confront); to lie (in the direction of); to undertake; to treat; to be equivalent to; to apply to; to be applicable; to be assigned
1	茹でる	ゆでる	v1	to boil	茹だる	うだる	v5r,vi	(1) to boil; to seethe; (2) to be oppressed by heat
1	重ねる	かさねる	v1	to pile up; to put something on another; to heap up; to add; to repeat	重なる	かさなる		to be piled up; lie on top of one another; overlap each other
1	連ねる	つらねる	v1	to link; to join; to put together	連なる	つらなる	v5r	to extend; to stretch out; to stand in a row
1	温める	あたためる	v1	to warm; to heat	温まる	あたたまる	v5r	to warm oneself; to sun oneself; to warm up; to get warm
1	集める	あつめる	v1,vt	to collect; to assemble	集まる	あつまる	v5r,vi	to gather; to collect; to assemble
1	改める	あらためる	v1	to change; to alter; to reform; to revise	改まる	あらたまる	v5r	(1) to be renewed; (2) to stand on ceremony; to be formal; (3) to take a turn for the worse
1	炒める	いためる	v1	to stir-fry	炒まる	いたまる	v5r	to be sauteed in oil
1	填める	うずめる	v1	to bury (e.g. one's face in hands)	埋まる	うずまる	v5r	to be buried; to be surrounded; to overflow; to be filled
1	埋める	うずめる	v1	to bury (e.g. one's face in hands)	埋まる	うずまる	v5r	to be buried; to be surrounded; to overflow; to be filled
1	収める	おさめる	v1	to obtain; to reap; to pay; to supply; to accept	収まる	おさまる	v5r	(1) to be in one's place; to be installed; to settle into; (2) to be obtained; to be settled; to be paid; to be delivered
1	治める	おさめる	v1	(1) to govern; to manage; (2) to subdue	治まる	おさまる	v5r	to be at peace; to clamp down; to lessen (storm, terror, anger)
1	修める	おさめる	v1	(1) to study; to complete (a course); to cultivate; to master; (2) to order (one's life); (3) to repair (a fault one has committed)	修まる	おさまる	v5r	to govern oneself; to conduct oneself well
1	納める	おさめる	v1	to obtain; to reap; to pay; to supply; to accept	納まる	おさまる	v5r	(1) to be in one's place; to be installed; to settle into; (2) to be obtained; to be settled; to be paid; to be delivered
1	固める	かためる	v1,vt	to harden; to freeze; to fortify	固まる	かたまる	v5r,vi	to harden; to solidify; to become firm; to become certain
1	絡める	からめる	v1	(1) to arrest; (2) to entwine; to twine around; (3) to coordinate (with)	絡まる	からまる	v5r	to be entwined; to be involvedalso 絡む [からむ] (v5m) (1) to entangle; to entwine; (2) to pick a quarrel; (3) to be involved with
1	決める	きめる	v1	to decide	決まる	きまる	v5r	(1) to be decided; to be settled; (2) to look good in (clothes)
1	清める	きよめる	v1	to purify; to cleanse; to exorcise	清まる	きよまる	v5r	to be purified; to be cleansed
1	閉める	しめる	v1,vt	to close; to shut	閉まる	しまる	v5r,vi	to close; to be closed
1	窄める	すぼめる	v1	to make narrower; to shut (an umbrella); to shrug (one's shoulders); to purse (one's lips)	窄まる	すぼまる	v5r	to get narrower; to contract
1	染める	そめる	v1	to dye; to colour; to color	染まる	そまる	v5r	to dye
1	高める	たかめる	v1	to raise; to lift; to boost	高まる	たかまる	v5r	to rise; to swell; to be promoted
1	定める	さだめる	v1	to decide; to establish; to determine	定まる	さだまる	v5r	to become settled; to be fixed
1	貯める	ためる	v1	to save (i.e. in a bank)	貯まる	たまる	v5r	to be saved (e.g. money)
1	溜める	ためる	v1	to amass; to accumulate	溜まる	たまる	v5r	to collect; to gather; to save
1	縮める	ちぢめる	v1	to shorten; to reduce; to boil down; to shrink	縮まる	ちぢまる	v5r	to be shortened; to be contracted; to shrink
1	勤める	つとめる	v1	(1) to serve; to fill a post; to serve under; to work (for); (2) to exert oneself; to endeavor; to endeavour; to be diligent; (3) to play (the part of)	勤まる	つとまる	v5r	to be fit for; to be equal to; to function properly
1	強める	つよめる	v1	to strengthen; to emphasize; to emphasise	強まる	つよまる	v5r	to get strong; to gain strength
1	止める	とどめる	v1	to stop; to cease; to put an end to	止まる	とどまる	v5r	(1) to remain; to abide; to stay (in the one place); (2) to come to a halt; (3) to stop
1	始める	はじめる	v1,vt	to start; to begin	始まる	はじまる	v5r,vi	to begin
1	嵌める	はめる	v1	(1) (col) to get in; to insert; to put on; (2) to make love	嵌まる	はまる		(oK) (v5r) to get into; to go into; to fit; to be fit for; to suit; to fall into; to plunge into; to be deceived; to be taken in; to fall into a trap; to be addicted to; to be deep into
1	広める	ひろめる	v1	to broaden; to propagate	広まる	ひろまる	v5r	to spread; to be propagated
1	纏める	まとめる	v1,vt	to put in order; to collect; to bring to a conclusion	纏まる	まとまる	v5r	to be collected; to be settled; to be in order
1	丸める	まるめる	v1	to make round; to round off; to roll up; to curl up; to seduce; to cajole; to explain away	丸まる	まるまる	v5r	to become rounded; to roll into a ball
1	緩める	ゆるめる	v1	to loosen; to slow down	緩まる	ゆるまる		((v5r) to become loose; to slacken; to soften
1	暖める,温める	あたためる	v1	to warm; to heat	暖まる,温まる	あたたまる	v5r	to warm oneself; to sun oneself; to warm up; to get warm
1	泊める	とめる	v1	to give shelter to; to lodge	泊まる	とまる	v5r	to stay at (e.g. hotel)
1	極める,窮める,究める	きわめる	v1	(1) to carry to extremes; to go to the end of something; (2) to investigate thoroughly; to master	極まる,窮まる	きわまる	v5r	to terminate; to reach an extreme; to be in a dilemma; to be at an end
1	静める,鎮める	しずめる	v1,vt	to appease; to suppress; to calm	静まる,鎮まる	しずまる	v5r	to quieten down; to calm down; to subside; to die down; to abate; to be suppressed
1	締める	しめる	v1	to tie; to fasten	締まる	しまる	v5r	to be shut; to be locked; to become sober
1	絞める	しめる	v1	to strangle; to constrict	絞まる	しまる	v5r	to be strangled; to be constricted
1	狭める	せばめる	v1,vt	to narrow; to reduce; to contract	狭まる	せばまる	v5r,vi	to narrow; to contract
1	助ける,輔ける,救ける,扶ける	たすける	v1	to help; to save; to rescue; to give relief to; to spare (life); to reinforce; to promote; to abet	助かる	たすかる	v5r	to be saved; to be rescued; to survive; to be helpful
1	見付ける	みつける	v1	to be familiar; to discover; to find fault; to detect; to find out; to locate	見付かる	みつかる	v5r	(uk) to be found; to be discovered
1	漬ける	つける	v1	to soak; to moisten; to pickle	漬かる	つかる	v5r	(1) to be pickled; to be well seasoned; (2) to be submerged; to be soaked
1	植える	うえる	v1	to plant; to grow	植わる	うわる	v5r	to be planted
1	終える	おえる	v1	to finish	終わる	おわる	v5r	to finish; to close
1	変える	かえる	v1,vt	to change; to alter; to vary; to convert; to revise; to amend	変わる	かわる	v5r,vi	to change; to be transformed; to vary; to be revised; to be different; to move location
1	換える	かえる	v1	to exchange; to interchange; to substitute; to replace	換わる	かわる	v5r,vi	to take the place of; to relieve; to be substituted for; to be exchanged; to change places with; to take turns; to be replaced
1	替える,代える	かえる	v1	to exchange; to interchange; to substitute; to replace	替わる,代わる	かわる	v5r,vi	to take the place of; to relieve; to be substituted for; to be exchanged; to change places with; to take turns; to be replaced
1	据える	すえる	v1	to set (table); to lay (foundation); to place (gun); to apply (moxa)	座る	すわる	v5r	to sit; to squat
1	備える	そなえる	v1	(1) to furnish; to provide for; to equip; to install; (2) to have ready; to prepare for; (3) to possess; to have; to be endowed with; to be armed with	備わる	そなわる	v5r	(1) to be furnished with; to be endowed with; (2) to be among; to be one of; to be possessed of
1	伝える	つたえる	v1	to convey; to report; to transmit; to communicate; to tell; to impart; to propagate; to teach; to bequeath	伝わる	つたわる	v5r	to be handed down; to be introduced; to be transmitted; to be circulated; to go along; to walk along
1	横たえる	よこたえる	v1	to lie down; to lay (oneself) down	横たわる	よこたわる	v5r	to lie down; to stretch out
