# HTTrack Website Copier Cookie File
# This file format is compatible with Netscape cookies
public-api.wordpress.com	TRUE	/wp-admin/rest-proxy/	FALSE	1999999999	wp_api	8dd75a940e109b6fedc77fc7db4befed
.wordpress.com	TRUE	/wp-content/plugins	FALSE	1999999999	wordpress	%20
.wordpress.com	TRUE	/wp-content/plugins	FALSE	1999999999	wordpress_sec	%20
opac.ryukoku.ac.jp	TRUE	/iwjs0005opc	FALSE	1999999999	JSESSIONID	711C40254C7B4B3B8A7BA4DDA66B1C51.iwjs0005opc-01
.wordpress.com	TRUE	/wp-admin	FALSE	1999999999	wordpress	%20
.wordpress.com	TRUE	/wp-admin	FALSE	1999999999	wordpress_sec	%20
ja.wikipedia.org	TRUE	/	FALSE	1999999999	WMF-Last-Access	18-Oct-2025
.wikipedia.org	TRUE	/	FALSE	1999999999	WMF-Last-Access-Global	18-Oct-2025
.wikipedia.org	TRUE	/	FALSE	1999999999	GeoIP	IL:TA:Ramat_Gan:32.08:34.81:v4
ja.wikipedia.org	TRUE	/	FALSE	1999999999	NetworkProbeLimit	0.001
upload.wikimedia.org	TRUE	/	FALSE	1999999999	WMF-Uniq	X3L3WTQaThaAcKe5gJnpNAKQAAEBAFvdpTY5c8F52tbv5frvqFEYvHPG1JaFCbSG
upload.wikimedia.org	TRUE	/	FALSE	1999999999	SameSite	None
x.com	TRUE	/	FALSE	1999999999	guest_id_marketing	v1%3A176077654596659744
x.com	TRUE	/	FALSE	1999999999	guest_id_ads	v1%3A176077654596659744
x.com	TRUE	/	FALSE	1999999999	personalization_id	v1_OLe9JJetgJotlCjP30/UHQ=="
x.com	TRUE	/	FALSE	1999999999	guest_id	v1%3A176077654596659744
x.com	TRUE	/	FALSE	1999999999	SameSite	None
x.com	TRUE	/	FALSE	1999999999	__cf_bm	EWInThWG0x1KvAfRmU.MKr6Nw3eWtHx0EVy0djFZ0II-1760776545.885082-1.0.1.1-0mHb3OMbmr33.NcBdSffelb3_Gc6rw6bsyEdyXf6.mmG87o9f391nm6iAiMo0VfIqF95GKE3HaGKsiWJJGxnNRu0VxJccZKxp4qxsOxM_wjnZbe8ZFS9ez9FXNBmbFI_
.wikipedia.org	TRUE	/	FALSE	1999999999	WMF-Uniq	gL-I2oR87c1kWAnUnBogBAKQAAEBAFvdXxwN6D6Y2gg4LsSQZlG2YFEpeSFWjD4B
ja.wikipedia.org	TRUE	/	FALSE	1999999999	SameSite	None
commons.wikimedia.org	TRUE	/	FALSE	1999999999	WMF-Last-Access	18-Oct-2025
.wikimedia.org	TRUE	/	FALSE	1999999999	GeoIP	IL:TA:Ramat_Gan:32.08:34.81:v4
commons.wikimedia.org	TRUE	/	FALSE	1999999999	NetworkProbeLimit	0.001
commons.wikimedia.org	TRUE	/	FALSE	1999999999	WMF-Uniq	1dshbOPWWZQQArcojlcq4wKQAAEBAFvdo1LGCHF0rsYdqx59bTbgPAW8QRUou4g-
commons.wikimedia.org	TRUE	/	FALSE	1999999999	SameSite	None
.discord.gg	TRUE	/	FALSE	1999999999	__cf_bm	VMmhpBO7tY_4EucuChOPuHZdse0sOMI7JMOzBF9wN2c-1760782686-1.0.1.1-dWzAcEvNlqFB8gWjCPa64jNJrCWWwvx2LaJ83JNNxYB9A.MDQA86eKEDk.O3gqMQSIvJci4TscadlhnnrWWjPcNIwIw_g4OkBNJAm1.22wU
discord.gg	TRUE	/	FALSE	1999999999	SameSite	None
discord.com	TRUE	/	FALSE	1999999999	__dcfduid	bda41430ac0b11f08af8b982115f8371
discord.com	TRUE	/	FALSE	1999999999	__sdcfduid	bda41431ac0b11f08af8b982115f83710067e82605eb37cae52726a60656576fbfd48c9b1c7c505e113c4cf76cbdd4c0
.paypal.com	TRUE	/	FALSE	1999999999	enforce_policy	gdpr_v2.1
.paypal.com	TRUE	/	FALSE	1999999999	LANG	en_US%3BIL
.paypal.com	TRUE	/	FALSE	1999999999	SEGM	bRdV1vB0ebq9RKdAb3xSHowCi6QnnlCiDOLNk8i1mAuLl1vTbzHQwWajSsMe8mvoWiJtY1GnpzN4Y-sixGy7BQ
.paypal.com	TRUE	/	FALSE	1999999999	cookie_prefs	T%3D0%2CP%3D0%2CF%3D0%2Ctype%3Dinitial
.paypal.com	TRUE	/	FALSE	1999999999	x-pp-s	eyJ0IjoiMTc2MDc4MjY5MTAyOSIsImwiOiIwIiwibSI6IjAifQ
.paypal.com	TRUE	/	FALSE	1999999999	tsrce	donatenodeweb
www.paypal.com	TRUE	/	FALSE	1999999999	nsid	s%3AlPcsbMqlY03mHPZX4haKRxkFYS3Z6iVy.iB6PRrv0rCnClbtF0eRa9X8ld63EP4Cbf8tNPMrXfA4
paypal.com	TRUE	/	FALSE	1999999999	l7_az	dcg14.slc
chromewebstore.google.com	TRUE	/	FALSE	1999999999	SameSite	none
twitter.com	TRUE	/	FALSE	1999999999	guest_id_marketing	v1%3A176078285118985208
twitter.com	TRUE	/	FALSE	1999999999	guest_id_ads	v1%3A176078285118985208
twitter.com	TRUE	/	FALSE	1999999999	personalization_id	v1_EDPxHnRZGQ9f3IpOZeIT7Q=="
twitter.com	TRUE	/	FALSE	1999999999	guest_id	v1%3A176078285118985208
twitter.com	TRUE	/	FALSE	1999999999	SameSite	None
