# Mechanically extracted from the KUNREITAB / KUNREITAB_H / HEPBURNTAB / HEPBURNTAB_H
# string tables in common.py (python-romkan). No entries added, removed or edited.
kana	script	kunrei_shiki	hepburn	unicode_names
ァ	katakana	xa	xa	KATAKANA LETTER SMALL A
ア	katakana	a	a	KATAKANA LETTER A
ィ	katakana	xi	xi	KATAKANA LETTER SMALL I
イ	katakana	i	i	KATAKANA LETTER I
ゥ	katakana	xu	xu	KATAKANA LETTER SMALL U
ウ	katakana	u	u	KATAKANA LETTER U
ウィ	katakana	wi	wi	KATAKANA LETTER U + KATAKANA LETTER SMALL I
ウェ	katakana	we	we	KATAKANA LETTER U + KATAKANA LETTER SMALL E
ウォ	katakana	wo	wo	KATAKANA LETTER U + KATAKANA LETTER SMALL O
ェ	katakana	xe	xe	KATAKANA LETTER SMALL E
エ	katakana	e	e	KATAKANA LETTER E
ォ	katakana	xo	xo	KATAKANA LETTER SMALL O
オ	katakana	o	o	KATAKANA LETTER O
カ	katakana	ka	ka	KATAKANA LETTER KA
ガ	katakana	ga	ga	KATAKANA LETTER GA
キ	katakana	ki	ki	KATAKANA LETTER KI
キャ	katakana	kya	kya	KATAKANA LETTER KI + KATAKANA LETTER SMALL YA
キュ	katakana	kyu	kyu	KATAKANA LETTER KI + KATAKANA LETTER SMALL YU
キョ	katakana	kyo	kyo	KATAKANA LETTER KI + KATAKANA LETTER SMALL YO
ギ	katakana	gi	gi	KATAKANA LETTER GI
ギャ	katakana	gya	gya	KATAKANA LETTER GI + KATAKANA LETTER SMALL YA
ギュ	katakana	gyu	gyu	KATAKANA LETTER GI + KATAKANA LETTER SMALL YU
ギョ	katakana	gyo	gyo	KATAKANA LETTER GI + KATAKANA LETTER SMALL YO
ク	katakana	ku	ku	KATAKANA LETTER KU
グ	katakana	gu	gu	KATAKANA LETTER GU
ケ	katakana	ke	ke	KATAKANA LETTER KE
ゲ	katakana	ge	ge	KATAKANA LETTER GE
コ	katakana	ko	ko	KATAKANA LETTER KO
ゴ	katakana	go	go	KATAKANA LETTER GO
サ	katakana	sa	sa	KATAKANA LETTER SA
ザ	katakana	za	za	KATAKANA LETTER ZA
シ	katakana	si	shi	KATAKANA LETTER SI
シェ	katakana	sye	she	KATAKANA LETTER SI + KATAKANA LETTER SMALL E
シャ	katakana	sya	sha	KATAKANA LETTER SI + KATAKANA LETTER SMALL YA
シュ	katakana	syu	shu	KATAKANA LETTER SI + KATAKANA LETTER SMALL YU
